type_of_water_source,town_name,province_name,location_type,number_of_people_served,time_in_queue,results
shared_tap,Asmara,Amanzi,Urban,1788,24,
well,Lusaka,Akatsi,Urban,236,0,Clean
well,Rural,Akatsi,Rural,350,0,Contaminated: Chemical
tap_in_home_broken,Amina,Amanzi,Urban,398,0,
tap_in_home,Rural,Sokoto,Rural,774,0,
well,Mrembo,Kilimani,Urban,318,0,Contaminated: Chemical
shared_tap,Rural,Akatsi,Rural,1694,145,
well,Rural,Hawassa,Rural,210,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,208,0,Contaminated: Chemical
tap_in_home,Rural,Kilimani,Rural,854,0,
tap_in_home_broken,Rural,Amanzi,Rural,514,0,
tap_in_home,Rural,Kilimani,Rural,594,0,
tap_in_home,Dahabu,Amanzi,Urban,700,0,
tap_in_home,Rural,Sokoto,Rural,718,0,
tap_in_home,Kintampo,Akatsi,Urban,636,0,
well,Rural,Akatsi,Rural,308,0,Contaminated: Chemical
tap_in_home_broken,Rural,Kilimani,Rural,834,0,
river,Rural,Sokoto,Rural,846,25,
well,Rural,Kilimani,Rural,216,0,Contaminated: Chemical
tap_in_home,Rural,Akatsi,Rural,972,0,
tap_in_home,Rural,Hawassa,Rural,400,0,
tap_in_home_broken,Abidjan,Amanzi,Urban,822,0,
tap_in_home,Harare,Kilimani,Urban,348,0,
well,Rural,Akatsi,Rural,170,0,Contaminated: Chemical
river,Asmara,Amanzi,Urban,988,20,
shared_tap,Amina,Amanzi,Urban,2324,27,
shared_tap,Rural,Hawassa,Rural,3168,30,
tap_in_home_broken,Amina,Amanzi,Urban,736,0,
shared_tap,Rural,Akatsi,Rural,2160,179,
river,Rural,Kilimani,Rural,760,5,
tap_in_home,Rural,Hawassa,Rural,850,0,
river,Rural,Sokoto,Rural,978,10,
tap_in_home,Bello,Amanzi,Urban,526,0,
shared_tap,Rural,Sokoto,Rural,3526,30,
tap_in_home_broken,Rural,Amanzi,Rural,958,0,
tap_in_home_broken,Rural,Amanzi,Rural,644,0,
tap_in_home,Rural,Kilimani,Rural,990,0,
well,Rural,Kilimani,Rural,232,0,Contaminated: Biological
well,Rural,Akatsi,Rural,338,0,Contaminated: Chemical
tap_in_home_broken,Rural,Amanzi,Rural,698,0,
tap_in_home,Rural,Amanzi,Rural,360,0,
well,Rural,Hawassa,Rural,202,0,Contaminated: Chemical
shared_tap,Kofi,Sokoto,Urban,2454,27,
well,Serowe,Hawassa,Urban,314,0,Clean
shared_tap,Rural,Hawassa,Rural,718,18,
tap_in_home,Rural,Sokoto,Rural,396,0,
well,Rural,Akatsi,Rural,390,0,Contaminated: Biological
well,Deka,Hawassa,Urban,308,0,Contaminated: Biological
river,Rural,Akatsi,Rural,846,23,
well,Harare,Akatsi,Urban,352,0,Clean
shared_tap,Rural,Amanzi,Rural,1996,167,
tap_in_home,Harare,Akatsi,Urban,826,0,
tap_in_home_broken,Rural,Amanzi,Rural,518,0,
well,Kintampo,Akatsi,Urban,346,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,302,0,Clean
shared_tap,Dahabu,Amanzi,Urban,594,18,
tap_in_home_broken,Harare,Akatsi,Urban,732,0,
tap_in_home_broken,Deka,Hawassa,Urban,992,0,
well,Serowe,Hawassa,Urban,348,0,Clean
well,Rural,Sokoto,Rural,196,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,330,0,Clean
shared_tap,Rural,Hawassa,Rural,1626,23,
well,Rural,Akatsi,Rural,314,0,Contaminated: Chemical
tap_in_home_broken,Serowe,Hawassa,Urban,556,0,
well,Mrembo,Kilimani,Urban,248,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,288,0,Contaminated: Biological
well,Rural,Akatsi,Rural,214,0,Clean
tap_in_home,Rural,Amanzi,Rural,640,0,
tap_in_home,Rural,Sokoto,Rural,628,0,
well,Rural,Kilimani,Rural,302,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,386,0,Clean
well,Mrembo,Kilimani,Urban,242,0,Contaminated: Biological
well,Rural,Akatsi,Rural,164,0,Clean
tap_in_home,Majengo,Sokoto,Urban,366,0,
well,Zuri,Kilimani,Urban,186,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,210,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,270,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,3816,240,
well,Rural,Kilimani,Rural,302,0,Clean
shared_tap,Rural,Kilimani,Rural,3944,240,
well,Rural,Kilimani,Rural,296,0,Contaminated: Biological
shared_tap,Rural,Kilimani,Rural,2100,25,
tap_in_home,Abidjan,Amanzi,Urban,888,0,
shared_tap,Rural,Akatsi,Rural,2384,27,
well,Rural,Hawassa,Rural,348,0,Contaminated: Chemical
shared_tap,Dahabu,Amanzi,Urban,238,40,
tap_in_home_broken,Zuri,Kilimani,Urban,648,0,
tap_in_home,Rural,Amanzi,Rural,960,0,
well,Harare,Akatsi,Urban,186,0,Contaminated: Chemical
well,Isiqalo,Kilimani,Urban,266,0,Clean
shared_tap,Rural,Kilimani,Rural,1068,100,
well,Rural,Akatsi,Rural,314,0,Contaminated: Chemical
tap_in_home,Abidjan,Amanzi,Urban,494,0,
well,Rural,Sokoto,Rural,242,0,Contaminated: Chemical
tap_in_home_broken,Rural,Kilimani,Rural,716,0,
well,Bahari,Sokoto,Urban,208,0,Contaminated: Biological
tap_in_home,Rural,Akatsi,Rural,822,0,
well,Kofi,Sokoto,Urban,286,0,Contaminated: Biological
tap_in_home_broken,Rural,Sokoto,Rural,874,0,
tap_in_home_broken,Mrembo,Kilimani,Urban,422,0,
shared_tap,Rural,Kilimani,Rural,1698,146,
tap_in_home,Dahabu,Amanzi,Urban,608,0,
well,Rural,Akatsi,Rural,332,0,Clean
tap_in_home,Lusaka,Akatsi,Urban,672,0,
well,Rural,Akatsi,Rural,206,0,Clean
tap_in_home_broken,Pwani,Amanzi,Urban,538,0,
well,Rural,Kilimani,Rural,282,0,Contaminated: Chemical
shared_tap,Asmara,Amanzi,Urban,1260,114,
well,Rural,Sokoto,Rural,322,0,Clean
well,Kintampo,Akatsi,Urban,196,0,Contaminated: Chemical
tap_in_home_broken,Rural,Hawassa,Rural,484,0,
tap_in_home,Rural,Kilimani,Rural,774,0,
tap_in_home_broken,Amina,Amanzi,Urban,416,0,
tap_in_home_broken,Amina,Amanzi,Urban,538,0,
tap_in_home,Cheche,Sokoto,Urban,960,0,
shared_tap,Rural,Akatsi,Rural,1550,135,
well,Rural,Sokoto,Rural,324,0,Contaminated: Biological
well,Rural,Kilimani,Rural,250,0,Clean
well,Rural,Kilimani,Rural,162,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,296,0,Clean
tap_in_home,Kofi,Sokoto,Urban,484,0,
well,Rural,Kilimani,Rural,258,0,Clean
tap_in_home,Ilanga,Sokoto,Urban,912,0,
well,Rural,Hawassa,Rural,186,0,Contaminated: Chemical
tap_in_home,Rural,Kilimani,Rural,580,0,
well,Rural,Akatsi,Rural,380,0,Contaminated: Chemical
well,Harare,Akatsi,Urban,312,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,396,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,278,0,Clean
well,Rural,Kilimani,Rural,246,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,232,0,Contaminated: Chemical
shared_tap,Zuri,Kilimani,Urban,910,19,
tap_in_home_broken,Lusaka,Akatsi,Urban,638,0,
tap_in_home,Dahabu,Amanzi,Urban,800,0,
tap_in_home,Rural,Kilimani,Rural,446,0,
river,Rural,Kilimani,Rural,654,28,
well,Lusaka,Akatsi,Urban,294,0,Contaminated: Biological
well,Zuri,Kilimani,Urban,248,0,Contaminated: Biological
tap_in_home_broken,Amara,Kilimani,Urban,306,0,
tap_in_home_broken,Rural,Amanzi,Rural,662,0,
well,Rural,Hawassa,Rural,178,0,Contaminated: Biological
tap_in_home_broken,Abidjan,Amanzi,Urban,868,0,
well,Rural,Kilimani,Rural,270,0,Clean
shared_tap,Majengo,Sokoto,Urban,1520,133,
well,Rural,Akatsi,Rural,264,0,Contaminated: Biological
tap_in_home_broken,Amina,Hawassa,Urban,670,0,
tap_in_home,Dahabu,Amanzi,Urban,838,0,
well,Abidjan,Amanzi,Urban,338,0,Contaminated: Biological
tap_in_home,Rural,Akatsi,Rural,730,0,
well,Rural,Kilimani,Rural,262,0,Clean
river,Rural,Sokoto,Rural,714,14,
river,Rural,Sokoto,Rural,722,7,
well,Harare,Kilimani,Urban,374,0,Contaminated: Chemical
well,Deka,Hawassa,Urban,320,0,Contaminated: Biological
well,Rural,Akatsi,Rural,188,0,Clean
tap_in_home,Bahari,Sokoto,Urban,462,0,
well,Harare,Kilimani,Urban,308,0,Contaminated: Biological
tap_in_home_broken,Asmara,Amanzi,Urban,484,0,
well,Rural,Hawassa,Rural,360,0,Contaminated: Biological
well,Yaounde,Hawassa,Urban,362,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,1352,21,
river,Rural,Kilimani,Rural,712,10,
well,Rural,Amanzi,Rural,360,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,460,0,
shared_tap,Rural,Amanzi,Rural,3618,30,
well,Rural,Kilimani,Rural,264,0,Contaminated: Chemical
tap_in_home_broken,Amina,Hawassa,Urban,744,0,
well,Serowe,Hawassa,Urban,214,0,Clean
well,Isiqalo,Kilimani,Urban,182,0,Contaminated: Biological
well,Rural,Kilimani,Rural,288,0,Contaminated: Biological
tap_in_home,Mrembo,Kilimani,Urban,308,0,
well,Rural,Akatsi,Rural,160,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,402,0,
tap_in_home_broken,Marang,Sokoto,Urban,896,0,
shared_tap,Rural,Sokoto,Rural,2446,200,
well,Rural,Amanzi,Rural,172,0,Clean
tap_in_home,Rural,Hawassa,Rural,434,0,
well,Rural,Sokoto,Rural,330,0,Contaminated: Chemical
well,Lusaka,Akatsi,Urban,394,0,Clean
well,Kofi,Sokoto,Urban,334,0,Contaminated: Biological
tap_in_home_broken,Zuri,Kilimani,Urban,780,0,
shared_tap,Rural,Akatsi,Rural,1894,24,
tap_in_home_broken,Serowe,Hawassa,Urban,464,0,
shared_tap,Asmara,Amanzi,Urban,1126,20,
well,Rural,Sokoto,Rural,240,0,Contaminated: Biological
well,Rural,Akatsi,Rural,290,0,Clean
tap_in_home,Rural,Hawassa,Rural,606,0,
tap_in_home_broken,Amina,Hawassa,Urban,660,0,
well,Rural,Akatsi,Rural,286,0,Contaminated: Chemical
tap_in_home,Djenne,Hawassa,Urban,946,0,
tap_in_home,Rural,Hawassa,Rural,722,0,
shared_tap,Rural,Hawassa,Rural,3772,240,
well,Mrembo,Kilimani,Urban,386,0,Contaminated: Biological
river,Rural,Akatsi,Rural,782,29,
tap_in_home,Rural,Akatsi,Rural,406,0,
tap_in_home,Zuri,Kilimani,Urban,706,0,
tap_in_home,Isiqalo,Kilimani,Urban,886,0,
tap_in_home_broken,Rural,Kilimani,Rural,666,0,
well,Amara,Kilimani,Urban,354,0,Contaminated: Biological
well,Rural,Akatsi,Rural,172,0,Contaminated: Chemical
tap_in_home_broken,Amina,Hawassa,Urban,704,0,
well,Djenne,Hawassa,Urban,232,0,Contaminated: Chemical
tap_in_home_broken,Rural,Sokoto,Rural,516,0,
tap_in_home,Rural,Akatsi,Rural,998,0,
tap_in_home_broken,Mrembo,Kilimani,Urban,908,0,
well,Amara,Kilimani,Urban,308,0,Contaminated: Biological
shared_tap,Pwani,Amanzi,Urban,3862,30,
well,Lusaka,Akatsi,Urban,166,0,Contaminated: Biological
tap_in_home_broken,Cheche,Sokoto,Urban,568,0,
tap_in_home,Rural,Amanzi,Rural,310,0,
well,Kofi,Sokoto,Urban,296,0,Contaminated: Biological
well,Dahabu,Amanzi,Urban,184,0,Contaminated: Chemical
tap_in_home,Bahari,Sokoto,Urban,804,0,
well,Rural,Hawassa,Rural,174,0,Clean
well,Rural,Hawassa,Rural,194,0,Clean
river,Rural,Sokoto,Rural,840,7,
well,Rural,Amanzi,Rural,220,0,Contaminated: Chemical
tap_in_home_broken,Asmara,Amanzi,Urban,420,0,
river,Pwani,Amanzi,Urban,602,7,
well,Ilanga,Sokoto,Urban,288,0,Contaminated: Biological
tap_in_home_broken,Rural,Akatsi,Rural,378,0,
well,Amara,Kilimani,Urban,328,0,Contaminated: Biological
tap_in_home,Mrembo,Kilimani,Urban,652,0,
tap_in_home,Rural,Hawassa,Rural,304,0,
shared_tap,Rural,Hawassa,Rural,3626,30,
well,Rural,Sokoto,Rural,254,0,Contaminated: Chemical
tap_in_home_broken,Isiqalo,Kilimani,Urban,820,0,
tap_in_home,Mrembo,Kilimani,Urban,978,0,
tap_in_home,Rural,Amanzi,Rural,636,0,
well,Rural,Akatsi,Rural,350,0,Clean
well,Zuri,Kilimani,Urban,360,0,Clean
shared_tap,Rural,Hawassa,Rural,2636,214,
shared_tap,Rural,Kilimani,Rural,1974,25,
shared_tap,Lusaka,Akatsi,Urban,3848,30,
well,Rural,Sokoto,Rural,292,0,Contaminated: Biological
tap_in_home,Harare,Akatsi,Urban,560,0,
tap_in_home,Bello,Amanzi,Urban,642,0,
shared_tap,Majengo,Sokoto,Urban,706,18,
well,Rural,Amanzi,Rural,300,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,2628,28,
well,Yaounde,Hawassa,Urban,194,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,478,57,
well,Rural,Hawassa,Rural,342,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,192,0,Clean
well,Lusaka,Akatsi,Urban,176,0,Clean
tap_in_home_broken,Rural,Amanzi,Rural,928,0,
tap_in_home_broken,Rural,Kilimani,Rural,334,0,
tap_in_home,Rural,Kilimani,Rural,622,0,
shared_tap,Rural,Hawassa,Rural,2928,30,
tap_in_home,Rural,Hawassa,Rural,974,0,
well,Rural,Sokoto,Rural,336,0,Contaminated: Chemical
well,Lusaka,Akatsi,Urban,380,0,Clean
tap_in_home,Marang,Sokoto,Urban,918,0,
well,Rural,Amanzi,Rural,210,0,Contaminated: Chemical
well,Rural,Hawassa,Rural,350,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,196,0,Contaminated: Biological
tap_in_home_broken,Harare,Kilimani,Urban,378,0,
tap_in_home,Majengo,Sokoto,Urban,810,0,
well,Rural,Akatsi,Rural,196,0,Contaminated: Chemical
shared_tap,Rural,Sokoto,Rural,3058,240,
tap_in_home,Dahabu,Amanzi,Urban,374,0,
tap_in_home_broken,Rural,Hawassa,Rural,632,0,
well,Isiqalo,Kilimani,Urban,170,0,Contaminated: Biological
shared_tap,Rural,Amanzi,Rural,316,46,
tap_in_home,Dahabu,Amanzi,Urban,906,0,
well,Ilanga,Sokoto,Urban,318,0,Contaminated: Chemical
well,Rural,Amanzi,Rural,212,0,Contaminated: Chemical
tap_in_home_broken,Rural,Hawassa,Rural,968,0,
tap_in_home,Amina,Hawassa,Urban,890,0,
tap_in_home,Dahabu,Amanzi,Urban,844,0,
tap_in_home,Ilanga,Sokoto,Urban,366,0,
well,Rural,Sokoto,Rural,258,0,Clean
river,Rural,Hawassa,Rural,732,8,
well,Kintampo,Akatsi,Urban,204,0,Clean
tap_in_home,Abidjan,Amanzi,Urban,610,0,
tap_in_home_broken,Amina,Amanzi,Urban,986,0,
tap_in_home,Rural,Akatsi,Rural,456,0,
shared_tap,Rural,Akatsi,Rural,430,54,
well,Rural,Akatsi,Rural,300,0,Clean
well,Amara,Kilimani,Urban,256,0,Contaminated: Biological
tap_in_home_broken,Rural,Amanzi,Rural,572,0,
well,Kofi,Sokoto,Urban,384,0,Clean
shared_tap,Rural,Akatsi,Rural,1436,22,
well,Rural,Hawassa,Rural,162,0,Contaminated: Chemical
river,Zuri,Kilimani,Urban,536,21,
well,Rural,Sokoto,Rural,390,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,388,0,Contaminated: Chemical
tap_in_home,Dahabu,Amanzi,Urban,750,0,
tap_in_home,Rural,Sokoto,Rural,932,0,
shared_tap,Rural,Akatsi,Rural,2946,30,
tap_in_home,Rural,Sokoto,Rural,518,0,
shared_tap,Rural,Hawassa,Rural,848,84,
tap_in_home,Rural,Amanzi,Rural,940,0,
river,Ilanga,Sokoto,Urban,494,23,
well,Rural,Hawassa,Rural,310,0,Contaminated: Chemical
tap_in_home_broken,Kintampo,Akatsi,Urban,616,0,
river,Rural,Sokoto,Rural,594,5,
tap_in_home_broken,Rural,Akatsi,Rural,880,0,
tap_in_home,Rural,Sokoto,Rural,822,0,
well,Ilanga,Sokoto,Urban,384,0,Contaminated: Chemical
well,Rural,Sokoto,Rural,292,0,Contaminated: Biological
well,Isiqalo,Kilimani,Urban,160,0,Contaminated: Biological
tap_in_home,Asmara,Amanzi,Urban,654,0,
shared_tap,Rural,Amanzi,Rural,3312,240,
well,Rural,Akatsi,Rural,204,0,Clean
well,Cheche,Sokoto,Urban,242,0,Clean
shared_tap,Rural,Kilimani,Rural,1902,160,
tap_in_home_broken,Ilanga,Sokoto,Urban,442,0,
well,Mrembo,Kilimani,Urban,164,0,Contaminated: Biological
river,Rural,Hawassa,Rural,682,24,
shared_tap,Rural,Amanzi,Rural,2516,205,
well,Lusaka,Akatsi,Urban,278,0,Contaminated: Biological
well,Rural,Kilimani,Rural,356,0,Clean
shared_tap,Cheche,Sokoto,Urban,3606,240,
well,Rural,Akatsi,Rural,218,0,Contaminated: Chemical
well,Rural,Kilimani,Rural,204,0,Contaminated: Chemical
tap_in_home,Zuri,Kilimani,Urban,444,0,
well,Kintampo,Akatsi,Urban,372,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,202,0,Contaminated: Biological
shared_tap,Rural,Hawassa,Rural,3796,30,
tap_in_home_broken,Zuri,Kilimani,Urban,548,0,
shared_tap,Amina,Amanzi,Urban,332,16,
river,Rural,Sokoto,Rural,600,24,
river,Dahabu,Amanzi,Urban,600,21,
tap_in_home,Harare,Akatsi,Urban,794,0,
well,Isiqalo,Kilimani,Urban,312,0,Clean
well,Mrembo,Kilimani,Urban,180,0,Contaminated: Biological
well,Rural,Sokoto,Rural,316,0,Contaminated: Biological
well,Rural,Kilimani,Rural,396,0,Contaminated: Chemical
shared_tap,Rural,Kilimani,Rural,1758,24,
tap_in_home,Rural,Akatsi,Rural,512,0,
river,Rural,Sokoto,Rural,650,16,
well,Amina,Hawassa,Urban,214,0,Contaminated: Chemical
well,Dahabu,Amanzi,Urban,372,0,Contaminated: Chemical
tap_in_home_broken,Kintampo,Akatsi,Urban,982,0,
river,Zuri,Kilimani,Urban,806,16,
well,Lusaka,Akatsi,Urban,166,0,Contaminated: Chemical
well,Mrembo,Kilimani,Urban,372,0,Contaminated: Chemical
well,Rural,Akatsi,Rural,358,0,Contaminated: Biological
river,Asmara,Amanzi,Urban,536,13,
tap_in_home_broken,Deka,Hawassa,Urban,308,0,
well,Rural,Kilimani,Rural,174,0,Clean
shared_tap,Pwani,Amanzi,Urban,726,18,
tap_in_home,Rural,Kilimani,Rural,786,0,
tap_in_home,Mrembo,Kilimani,Urban,390,0,
river,Rural,Kilimani,Rural,866,8,
well,Rural,Sokoto,Rural,396,0,Contaminated: Chemical
tap_in_home,Rural,Sokoto,Rural,832,0,
well,Amara,Kilimani,Urban,250,0,Contaminated: Biological
well,Isiqalo,Kilimani,Urban,370,0,Contaminated: Chemical
river,Rural,Sokoto,Rural,774,18,
well,Rural,Kilimani,Rural,220,0,Clean
tap_in_home_broken,Kintampo,Akatsi,Urban,812,0,
well,Rural,Amanzi,Rural,258,0,Clean
shared_tap,Zuri,Kilimani,Urban,1234,21,
tap_in_home_broken,Harare,Akatsi,Urban,726,0,
